ID Contratos que utilizan banca movil,ID Sucursales banca comercial,ID Terminales punto de venta,ID Establecimientos con TPV,Cable coaxial,DSL,Creditos bienestar,c,estado,municipio
3167.40855,3.560886509,19.5848758,14.24354604,0,0,5,0,Coahuila,Sierra Mojada
3167.863685,1.880595836,48.89549173,31.97012921,0,539,110,0,Oaxaca,San Pedro Tapanatepec
3168.577411,0.829253444,34.41401794,28.19461711,648,2264,3,0,Jalisco,Zapotiltic
3170.595282,1.975448774,322.6566331,301.5851795,0,3494,4,2,Jalisco,Villa Hidalgo
3171.352297,2.292060564,108.8728768,93.97448311,2950,3888,114,2,Nuevo León,Santiago
3171.739077,0,172.0678611,126.0024495,0,0,20,2,Oaxaca,San Agustín de las Juntas
3181.278065,0,38.94286526,30.44624011,0,1446,179,3,Hidalgo,Tlahuelilpan
3183.791112,1.012109694,67.88196182,44.48575168,0,0,3482,2,Jalisco,Tlajomulco de Zúñiga
3184.643979,0,8.632598268,7.063034946,0,609,33,3,Tlaxcala,Tzompantepec
3188.521829,1.506862868,22.60294302,21.09608016,0,0,3,0,Tamaulipas,Gustavo Díaz Ordaz
3189.650668,1.823699639,61.0939379,56.99061371,0,0,79,0,Veracruz,Cuitláhuac
3192.009311,0,12.77655495,12.77655495,0,0,37,3,Oaxaca,Magdalena Tequisistlán
3193.669882,1.065918634,52.5853193,42.28143917,7142,3186,2395,2,Veracruz,Perote
3195.313101,0,11.9674648,11.9674648,0,226,9,3,Oaxaca,Santo Domingo Ingenio
3198.760233,0.89903323,29.6680966,29.6680966,0,2388,63,0,Hidalgo,Atitalaquia
3198.933168,0,47.11359383,42.3223809,0,3571,28,3,Puebla,Zaragoza
3203.897012,0,32.56623294,20.16004896,0,0,4,3,Puebla,San José Chiapa
3206.742587,1.246789497,14.96147397,16.20826347,0,463,4,0,Sonora,Pitiquito
3208.524473,0,17.54163479,14.75092017,0,2139,43,3,Tlaxcala,Tetla de la Solidaridad
3208.805693,0.423191297,31.40079427,24.20654221,10680,5435,163,2,Durango,Lerdo
3210.345306,0.46893738,30.01199234,25.79155592,0,1175,54,3,Veracruz,Soledad de Doblado
3212.763338,0,7.346257633,7.346257633,0,209,39,3,Chiapas,Metapa
3215.487015,0.4011211,35.59949759,22.26222103,7042,3067,2161,2,Veracruz,Cosoleacaque
3215.829457,1.227181628,61.052286,35.28147181,0,0,2032,2,Veracruz,Jáltipan
3215.893917,1.051289283,77.79540695,75.69282838,0,732,28,2,Hidalgo,Villa de Tezontepec
3218.382959,2.137466268,369.3541711,222.0827452,2028,6333,19,2,Jalisco,Ameca
3219.673887,0,22.35884644,22.35884644,0,0,6,3,Oaxaca,Guelatao de Juárez
3221.130674,1.08610998,50.23258659,33.94093689,0,3510,3,0,Coahuila,Parras
3225.483169,0.420021248,17.71089595,13.7206941,0,3420,5559,2,Tabasco,Huimanguillo
3226.6358,1.328982166,115.0898556,56.74753848,16858,6374,753,2,Puebla,Cuautlancingo
3229.938855,1.823896807,52.34583835,44.86786144,2446,6865,5,0,Jalisco,San Juan de los Lagos
3237.525193,1.826530433,65.29846298,49.31632169,0,0,91,0,Veracruz,Nanchital de Lázaro Cárdenas del Río
3242.790208,0.985575627,28.33529929,24.14660287,3009,1610,10,0,Sinaloa,Rosario
3247.246858,0.634227902,47.56709264,38.68790201,0,3190,57,2,Puebla,Chignahuapan
3247.402726,1.507615007,35.42895267,30.15230015,1422,2887,32,0,Jalisco,San Miguel El Alto
3248.451147,0,24.797337,24.797337,0,0,0,3,Oaxaca,Santo Domingo Chihuitán
3249.412377,0.743856324,26.77882767,26.53087557,0,4239,40,0,Morelos,Yecapixtla
3250.073444,0,8.620884466,11.49451262,0,0,9,3,Tlaxcala,Muñoz de Domingo Arenas
3252.773731,1.172677818,26.03344755,20.63912959,0,0,16,0,Guanajuato,Acámbaro
3255.597087,0,7.55358953,7.55358953,0,0,4,3,Oaxaca,San Andrés Huayápam
3256.325787,0.956336501,66.94355508,33.47177754,0,0,2,0,Oaxaca,"Barrio de la Soledad, El"
3260.857226,2.000525905,19.33841709,18.67157512,0,0,23,0,San Luis Potosí,Cárdenas
3261.710572,0.91873995,31.97215027,24.16286069,4832,3409,143,0,Sinaloa,Navolato
3262.430094,1.152394947,42.63861303,20.74310904,0,0,0,0,Chihuahua,Santa Bárbara
3272.540447,0.414507973,24.04146243,23.21244649,0,537,271,3,Chiapas,Escuintla
3274.946383,0,14.3285457,10.83377845,0,0,33,3,Hidalgo,Francisco I. Madero
3281.577634,0,6.230843608,8.307791478,0,0,2,3,Sonora,Carbó
3282.13309,0.836117575,34.8382323,33.444703,12506,4925,928,2,México,Huehuetoca
3282.191929,2.524439376,86.25167869,64.3732041,0,2680,54,0,Chihuahua,Ojinaga
3284.567561,0.874884815,43.36929009,37.62004703,4673,2802,8671,2,Chiapas,Villaflores
3285.23507,1.147279577,34.99202711,30.4029088,0,1551,19,0,Jalisco,Degollado
3292.918239,0,12.21106887,12.21106887,0,366,40,3,Oaxaca,San Pablo Huitzo
3294.459372,1.705206714,58.82963164,48.59839136,0,1190,1591,2,Chiapas,Pichucalco
3303.862181,1.188974244,24.07672844,21.69877995,0,2117,189,0,San Luis Potosí,Ebano
3306.708187,0,30.45530845,28.60953218,671,9510,0,3,Hidalgo,Emiliano Zapata
3309.433355,0.68306158,3.4153079,3.4153079,0,0,4,0,México,Texcaltitlán
3309.785227,1.008127431,86.3492006,63.77949055,87614,28633,8435,2,Nuevo León,Apodaca
3310.054109,1.691824231,27.35115841,26.50524629,1384,1725,95,0,Puebla,Chalchicomula de Sesma
3310.722686,1.621181435,41.34012658,33.50441632,0,1536,66,0,Durango,Santiago Papasquiaro
3313.867755,0.675197179,72.92129535,60.09254895,0,0,114,2,Hidalgo,Zapotlán de Juárez
3315.368672,0,13.55055315,13.55055315,0,0,3,3,Oaxaca,San Pedro Huilotepec
3316.821776,1.474798478,17.69758173,14.74798478,0,500,0,0,Zacatecas,Monte Escobedo
3320.07092,1.977017221,57.66300228,90.61328929,0,1757,275,2,Oaxaca,Heroica Ciudad de Tlaxiaco
3324.124621,0,0,0,0,0,0,3,Sonora,Oquitoa
3330.158796,0,19.37118167,16.00228051,819,620,20,3,Hidalgo,Epazoyucan
3331.21947,0.337407016,16.19553677,12.14665258,0,420,26,3,Tabasco,Jalapa
3332.344138,0,15.13555248,14.29468845,0,0,8,3,Sonora,San Ignacio Río Muerto
3340.703071,0,18.08718501,16.27846651,0,740,1,3,Sonora,Cumpas
3341.235663,0.917165979,25.68064742,20.17765155,2122,509,0,0,Michoacán,Marcos Castellanos
3352.359109,2.580722948,87.74458022,51.61445895,0,447,8,0,Oaxaca,Tlalixtac de Cabrera
3352.610788,0.64115716,7.373307337,6.732150177,365,611,190,0,Chiapas,Tuxtla Chico
3353.771519,0.871562245,14.81655817,13.5092148,665,1598,165,0,Jalisco,Zacoalco de Torres
3367.508511,1.110655841,57.75410375,54.42213622,6580,829,40,2,Veracruz,Banderilla
3368.192787,0.910960971,67.6744365,43.08560717,80130,118054,17301,2,México,Ecatepec de Morelos
3374.766717,0,0,0,0,44,0,3,Sonora,Arivechi
3380.35153,1.424105405,40.82435495,33.70382792,0,607,67,0,Durango,Nuevo Ideal
3384.270091,1.667538848,24.17931329,22.51177444,0,0,0,0,Jalisco,Amatitán
3390.700325,1.172644069,14.65805086,14.65805086,0,0,9,0,Jalisco,Tizapán El Alto
3392.858134,0.192093879,37.65040024,19.11334094,2,2856,3687,2,Tabasco,Nacajuca
3395.177057,1.076330541,61.13557471,51.44859984,4691,4224,21,2,Zacatecas,Jerez
3396.872649,0,18.41361013,17.53677155,0,0,14,3,Oaxaca,Asunción Ixtaltepec
3397.499962,1.013309462,36.35247694,27.1060281,0,0,2532,2,Veracruz,Pánuco
3398.805019,1.548342358,64.83683624,50.70821223,0,6691,208,2,Tamaulipas,Valle Hermoso
3401.163879,0.665017183,38.17198628,26.6006873,3877,1414,5137,2,Chiapas,Chiapa de Corzo
3403.108515,0,73.38627242,58.99680724,0,2907,0,2,Coahuila,Morelos
3404.268549,0.517287426,33.62368268,34.65825753,0,0,37,0,México,Xonacatlán
3406.183961,0.705701097,35.16743799,24.11145414,6119,2524,70,2,Coahuila,San Pedro
3411.900466,0.999934195,52.62153702,33.99776264,7541,6195,96,2,México,Tenancingo
3413.119336,0.379446285,19.35176055,18.97231427,2227,1328,95,3,Morelos,Tlaquiltenango
3413.229692,0.637629309,14.66547411,13.39021549,0,368,164,0,Chiapas,Acala
3413.720932,1.026374303,5.131871515,6.158245818,0,0,4,0,Guerrero,Buenavista de Cuéllar
3419.79493,0.911823738,28.03857995,24.84719687,8416,3313,21,2,Nayarit,Xalisco
3423.580067,1.281519771,43.78525883,30.75647449,0,2833,4013,2,Tabasco,Tenosique
3429.768804,1.212250648,55.20935807,42.94830866,14772,48175,4458,2,México,Chalco
3439.633232,1.925527094,60.20481381,50.32044139,0,0,1534,0,Nuevo León,Cadereyta Jiménez
3440.025308,0.632968455,23.73631704,20.57147477,3059,2467,2432,2,Chiapas,Cintalapa
3444.536338,1.080045885,36.45154861,35.6415142,0,1014,214,0,Chiapas,Mapastepec
3448.295484,0.452591611,14.03033994,13.12515672,0,0,149,3,Chiapas,Villa Comaltitlán
3449.085913,1.108852568,46.01738157,37.14656103,0,0,61,0,Tamaulipas,González
3450.651499,0,42.08111585,42.08111585,0,158,0,3,Oaxaca,Guadalupe Etla
3451.950641,2.050663747,86.81143195,47.84882076,0,0,296,0,Oaxaca,Asunción Nochixtlán
3459.975344,0.836348887,115.9737123,56.59294133,10035,7017,2508,2,Veracruz,Coatepec
3464.211161,1.516445384,74.7390939,43.1103759,0,0,117,0,Coahuila,Francisco I. Madero
3464.749001,1.978141533,140.6526842,75.51043713,29590,11847,29,2,Michoacán,Zamora
3468.071228,1.393119396,75.92500709,55.9237929,0,0,59,2,Tamaulipas,Río Bravo
3468.367021,0.502079766,27.11230735,20.08319063,0,0,66,3,Tlaxcala,Natívitas
3469.774038,0.823978636,22.24742318,22.24742318,0,1117,11,0,Zacatecas,Tabasco
3471.161779,1.975618543,125.6987298,96.80530859,5335,4290,3,2,Chihuahua,Camargo
3476.769143,0.695632081,20.5211464,18.7820662,0,0,30,0,Jalisco,Tomatlán
3482.084998,0.721227216,75.44036678,37.64806067,0,0,11119,2,Chiapas,Tonalá
3484.579412,0,28.34912064,25.98669392,0,720,31,3,Oaxaca,Soledad Etla
3488.273172,1.070432888,40.63184836,34.52146062,0,0,3271,2,México,"Paz, La"
3491.637093,0.749278346,20.73003424,19.481237,0,1686,78,0,Hidalgo,Tezontepec de Aldama
3495.341494,0.473046623,28.85584398,26.96365749,0,2438,46,3,Morelos,Tepalcingo
3496.034835,0,13.55052262,13.55052262,0,0,0,3,Sonora,Divisaderos
3500.606722,0,74.99612917,43.10801125,28400,17757,248,2,Nuevo León,Carmen
3501.409098,0.149882672,25.18028888,17.53627261,0,7557,115,3,Morelos,Ayala
3506.840465,0,7.765570913,7.308772624,0,0,153,3,Chiapas,Mazatán
3511.334723,1.10969818,83.06090876,45.52536783,0,0,7233,2,México,Tecámac
3513.173065,0.677281701,32.73528223,25.17230323,40677,49851,22,2,Coahuila,Matamoros
3514.055204,0,0,0,0,0,0,3,Sonora,Huachinera
3514.463454,1.555072325,22.28936999,23.84444231,0,0,3,0,Tamaulipas,Xicoténcatl
3522.297997,1.039902403,41.29898116,32.38553199,3694,3090,64,0,Sonora,Huatabampo
3536.852317,1.074867746,109.6365101,91.90119225,0,0,779,2,Oaxaca,Santa Lucía del Camino
3549.342064,1.097101281,34.66840048,29.62173459,4897,2406,93,0,Sinaloa,Escuinapa
3550.2162,0,41.06669983,36.96002985,0,0,0,3,Sonora,Yécora
3564.122911,0.800012625,36.00056812,26.6670875,14363,16572,1976,2,México,Chicoloapan
3564.466409,1.901048752,60.83356005,55.1304138,0,4103,112,0,Zacatecas,Calera
3567.639845,1.893400475,50.6484627,45.4416114,1730,2368,44,0,Jalisco,Cocula
3571.313659,1.121908006,39.26678019,35.34010218,0,0,86,0,Michoacán,Múgica
3572.111799,0.388716666,20.89352078,16.61763746,0,0,126,3,Tabasco,Cunduacán
3573.268866,2.240510069,53.59989472,44.12081366,0,0,1882,0,Puebla,Izúcar de Matamoros
3577.122481,1.127540577,30.44359558,22.55081154,4000,4823,4,0,Jalisco,Magdalena
3578.62283,0.81413424,37.21072377,29.33277775,73207,38635,6469,2,México,Ixtapaluca
3579.592653,0.929281582,50.64584621,47.85800146,0,1378,2,2,Sonora,Alamos
3583.512919,0.242851241,25.25652911,22.09946297,0,0,27,3,Morelos,Tlaltizapán
3583.850743,1.183570258,48.5263806,39.05781853,0,2977,24,0,Oaxaca,Santa Cruz Amilpas
3589.720436,0,0,0,0,70,0,3,Sonora,Bacanora
